"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"아프리카",앙골라,-0.300,-0.300,10.700,-0.500,7.000,10.900,7.600,9.800,7.000,-2.900,0.900,-0.500,4.400,1.000,1.000,-2.700,-6.000,-3.600,-4.700,-4.000,-8.700,-2.000,-0.200,-2.000
"아프리카",베냉,2.700,2.200,1.500,0.300,1.300,-1.500,0.800,2.900,1.800,-0.700,-0.900,-0.100,1.700,4.100,3.300,-1.200,0.400,2.700,3.700,4.000,1.100,4.400,3.600,3.700
"아프리카",카메룬,1.100,1.600,1.700,2.600,4.100,-0.600,1.000,1.400,-0.100,-0.300,0.000,0.500,1.700,2.100,2.600,2.400,1.500,0.600,1.100,0.600,-2.400,0.600,1.000,0.600
"아프리카",콩고,7.600,-8.300,-1.400,-2.300,-3.600,5.300,4.000,-10.000,2.900,7.300,5.500,-1.100,6.900,-3.100,4.100,-2.000,-10.900,-7.900,-4.700,-2.500,-8.500,-0.100,-0.600,-0.500
"아프리카",이집트,3.300,1.200,0.200,1.100,2.000,2.400,4.800,5.100,5.200,2.700,3.200,-0.400,0.000,-0.100,0.600,2.200,2.200,2.100,3.300,3.700,1.900,1.700,5.100,2.000
"아프리카",에리트레아,-1.300,-14.800,5.100,-1.200,-6.600,-0.900,-2.500,0.000,-21.500,9.400,8.700,23.500,0.600,-11.500,30.100,-20.900,6.700,-10.700,11.500,2.300,-2.100,1.100,0.800,1.000
"아프리카",에티오피아,2.900,5.100,-1.500,-5.100,10.200,8.600,7.600,8.200,7.600,5.800,9.400,10.000,5.600,7.600,7.300,7.500,4.700,6.600,4.000,5.500,3.200,2.900,2.600,3.900
"아프리카",가봉,-3.800,-0.300,-4.400,-0.300,-2.000,-1.800,-6.000,3.100,-6.500,-3.400,3.500,3.400,1.600,2.000,0.900,0.700,-0.800,-2.200,-1.700,1.400,-4.200,-0.800,0.700,0.200
"아프리카",가나,1.600,1.800,2.000,2.400,2.600,3.400,1.900,1.700,6.400,2.300,5.300,11.300,6.700,5.500,0.500,-0.200,1.000,5.800,4.000,4.400,-1.500,3.000,1.800,1.000
"아프리카",기니,0.900,2.400,3.600,-1.000,0.100,1.000,-2.400,4.400,1.600,-3.500,2.300,3.000,3.300,1.400,1.200,1.200,8.000,7.500,3.700,2.900,2.100,3.000,1.400,3.100
"아프리카",케냐,-2.500,1.200,-2.500,-0.200,1.900,2.700,3.100,3.700,-2.800,4.600,5.000,2.300,1.800,1.300,2.600,2.700,2.000,1.600,3.500,3.100,-2.200,5.600,2.900,3.500
"아프리카",라이베리아,23.900,-0.100,1.100,-30.700,1.400,0.700,8.800,32.600,5.200,5.900,5.700,5.500,8.900,3.700,4.500,8.500,-1.200,3.400,3.400,-4.300,-5.600,0.200,-1.300,2.300
"아프리카",리비아,0.700,-1.300,-1.400,12.700,4.200,10.000,4.400,4.100,-2.300,-6.400,2.900,-49.100,91.800,-19.600,-24.500,-2.400,-3.000,30.400,6.200,-12.500,-50.800,26.700,-13.200,8.900
"아프리카",마다가스카르,1.500,2.800,-15.200,6.600,2.200,1.600,2.000,3.200,3.600,-6.800,-2.300,-1.300,0.200,-0.400,0.600,0.400,1.300,1.300,0.500,1.700,-9.500,2.100,1.600,1.700
"아프리카",모로코,0.200,6.100,2.000,5.000,3.500,1.600,6.300,1.300,5.700,8.700,3.700,6.000,2.100,4.800,3.900,3.100,-0.700,3.800,1.900,1.800,-8.100,7.100,0.500,2.400
"아프리카",나이지리아,2.200,3.100,12.200,4.400,6.300,3.500,3.200,3.700,3.800,5.100,6.700,2.000,1.400,2.600,3.500,0.100,-4.000,-1.600,-0.400,0.000,-3.900,1.500,1.100,0.700
